[Command: python -u '/Users/litchein/Documents/Python codes/nestedgenes_chr_half.py']
21ur-11619,C44B7.14 is nested in slc-36.5,C44B7.6
F07A11.10 is nested in din-1,F07A11.6
anr-41,W06A11.5 is nested in gadr-4,W06A11.2
Y46G5A.45 is nested in snrp-200,Y46G5A.4
Y46G5A.t1 is nested in snrp-200,Y46G5A.4
T21B10.8 is nested in sftd-3,C18E9.10
K09E4.1 is nested in cacn-1,W03H9.4
lron-15,C56E6.6 is nested in utp-20,F18C5.3
C41C4.11 is nested in C41C4.15
C41C4.16 is nested in ulp-4,C41C4.6
clec-139,F35D11.10 is nested in pqn-35,F35D11.2
Y62F5A.10 is nested in age-1,B0334.8
F58G1.11 is nested in F58G1.7
F22D3.5 is nested in flcn-1,F22D3.2
T21B4.18 is nested in col-85,T21B4.2
Y25C1A.15 is nested in Y25C1A.8
C08H9.9 is nested in chil-1,C08H9.4
Y51B9A.13 is nested in Y51B9A.5
K07C10.t1 is nested in K07C10.5
R153.5 is nested in pde-4,R153.1
R153.9 is nested in pde-4,R153.1
F36H5.14 is nested in math-3,C08F1.4
ZK669.8 is nested in spv-1,ZK669.1
F39E9.21 is nested in mir-260,F39E9.13
F10E7.12 is nested in F10E7.2
K10G6.6 is nested in lin-31,K10G6.1
B0432.18 is nested in B0432.13
B0432.19 is nested in misc-1,B0432.4
B0432.16 is nested in B0432.13
B0432.17 is nested in mrpl-41,B0432.3
F22B5.11 is nested in F22B5.4
F22B5.12 is nested in F22B5.4
F09E5.21 is nested in sec-6,F09E5.5
F09E5.23 is nested in sec-6,F09E5.5
F09E5.20 is nested in sec-6,F09E5.5
F09E5.16 is nested in sec-6,F09E5.5
F09E5.12 is nested in sec-6,F09E5.5
F07F6.10 is nested in F07F6.1
R52.12 is nested in math-37,R52.9
msp-45,F58A6.8 is nested in srb-13,F58A6.11
B0334.12 is nested in twk-5,B0334.2
R166.7 is nested in mnk-1,R166.5
F57F10.5 is nested in abts-3,F57F10.1
F57F10.4 is nested in abts-3,F57F10.1
F57F10.6 is nested in abts-3,F57F10.1
F57F10.3 is nested in abts-3,F57F10.1
F57F10.2 is nested in abts-3,F57F10.1
W07E6.7 is nested in prp-21,W07E6.4
21ur-13586,C06A8.12 is nested in srh-39,C06A8.7
W09G10.t1 is nested in col-72,W09G10.1
R03C1.6 is nested in cog-1,R03C1.3
T10D4.16 is nested in sri-32,T10D4.12
W01D2.8 is nested in W01D2.3
ZK930.13 is nested in mir-45,ZK930.11
clec-137,F35D11.8 is nested in pqn-35,F35D11.2
F40F8.13 is nested in arrd-6,F40F8.8
B0495.18 is nested in cpna-5,B0495.10
B0495.15 is nested in cpna-5,B0495.10
B0495.14 is nested in cpna-5,B0495.10
B0495.13 is nested in cpna-5,B0495.10
T24H7.8 is nested in tat-4,T24H7.5
F56D12.t3 is nested in jip-1,F56D12.4
21ur-10128,Y74E4A.2 is nested in lgc-27,Y74E4A.1
B0034.8 is nested in B0034.16
B0034.17 is nested in casy-1,B0034.3
B0034.13 is nested in B0034.5
C18D1.2 is nested in stg-1,C18D1.4
F40H7.6 is nested in srx-103,F40H7.11
21ur-13330,C33B4.6 is nested in shn-1,C33B4.3
C50E10.13 is nested in sop-2,C50E10.4
C28F5.7 is nested in glb-9,C28F5.2
21ur-14760,D2013.12 is nested in wdfy-2,D2013.2
C16C8.t2 is nested in C16C8.24
C16C8.23 is nested in skpo-2,C16C8.2
Y59C2A.4 is nested in Y59C2A.2
T24H7.6 is nested in T24H7.2
Y38E10A.t2 is nested in rgs-4,Y38E10A.21
C27A2.t1 is nested in C27A2.10
Y57G7A.8 is nested in srz-64,Y57G7A.7
F31E8.21 is nested in F31E8.1
W08F4.14 is nested in cdc-37,W08F4.8
W08F4.15 is nested in W08F4.3
21ur-15355,R05H5.9 is nested in T01E8.1
21ur-15579,M176.12 is nested in gss-1,M176.2
F14F11.3 is nested in shw-1,F14F11.1
F14F11.5 is nested in shw-1,F14F11.1
C44C11.t1 is nested in ras-1,C44C11.1
klp-17,W02B12.7 is nested in rga-1,W02B12.8
C07E3.17 is nested in C07E3.3
dpl-1,T23G7.1 is nested in T23G7.2
C38C6.t1 is nested in sre-13,C38C6.4
T10B9.t1 is nested in ZK1321.4
rte-4,ZK622.t2 is nested in ZK622.6
T01B7.12 is nested in T01B7.9
T01B7.10 is nested in T01B7.9
T16D1.t1 is nested in pho-4,T16D1.2
2RSSE.6 is nested in 2RSSE.1
T14B4.14 is nested in dpy-10,T14B4.7
21ur-15523,C01G6.12 is nested in C01G6.5
T24B8.20 is nested in T24B8.4
T21B10.9 is nested in cutl-15,T21B10.6
bli-2,F59E12.12 is nested in zyg-1,F59E12.2
C27H5.9 is nested in pdl-1,C27H5.1
Y53F4B.53 is nested in Y53F4B.1
Y53F4B.57 is nested in Y53F4B.1
K12D12.9 is nested in npp-3,K12D12.2
msp-31,R05F9.13 is nested in aagr-2,R05F9.12
unc-105,C41C4.5 is nested in ire-1,C41C4.4
F43G6.12 is nested in F43G6.17
C44C11.4 is nested in linc-164,C44C11.8
C44C11.3 is nested in linc-164,C44C11.8
C44C11.5 is nested in linc-164,C44C11.8
Y49F6B.15 is nested in col-71,Y49F6B.10
B0495.19 is nested in cpna-2,B0228.4
B0495.17 is nested in cpna-2,B0228.4
21ur-14845,C30B5.8 is nested in daf-37,C30B5.5
C30B5.10 is nested in daf-37,C30B5.5
C09H10.19 is nested in C09H10.10
21ur-14961,T19H5.8 is nested in chil-23,R09D1.11
21ur-12211,R09D1.15 is nested in chil-23,R09D1.11
21ur-14693,T19H5.9 is nested in chil-23,R09D1.11
F48A11.8 is nested in chs-2,F48A11.1
F54F11.4 is nested in nep-17,F54F11.2
F54C9.12 is nested in iff-2,F54C9.1
F48A11.7 is nested in ubxn-3,F48A11.5
21ur-12701,M05D6.11 is nested in T13H5.1
col-79,C09G5.3 is nested in dph-2,C09G5.2
21ur-13985,C41C4.13 is nested in chst-1,C41C4.1
C38C6.9 is nested in sre-13,C38C6.4
21ur-14766,Y46D2A.4 is nested in Y46D2A.1
K07C10.2 is nested in K07C10.3
Y57A10C.t1 is nested in Y57A10C.9
T24B8.22 is nested in T24B8.3
F19H8.2 is nested in tps-2,F19H8.1
F19H8.7 is nested in tps-2,F19H8.1
K07C10.6 is nested in K07C10.3
F07E5.10 is nested in F07E5.9
F49C5.t3 is nested in F49C5.15
21ur-14768,M28.12 is nested in M28.10
F32A5.11 is nested in linc-125,F32A5.10
M02G9.5 is nested in M02G9.1
mir-35,Y62F5A.2 is nested in Y62F5A.9
ztf-22,Y48C3A.4 is nested in Y48C3A.5
F47F6.14 is nested in lin-42,F47F6.1
F47F6.15 is nested in lin-42,F47F6.1
F47F6.13 is nested in lin-42,F47F6.1
F52H3.10 is nested in ZK892.5
F52H3.9 is nested in ZK892.5
F47F6.11 is nested in lin-42,F47F6.1
ZK892.9 is nested in lec-3,ZK892.1
M03A1.t1 is nested in M03A1.12
ZK970.t3 is nested in gcy-4,ZK970.5
ZK970.10 is nested in gcy-4,ZK970.5
ZK970.t2 is nested in gcy-4,ZK970.5
sup-6,F58G1.10 is nested in F58G1.7
C06A1.9 is nested in cdc-48.1,C06A1.1
C06A1.8 is nested in cdc-48.1,C06A1.1
T27A1.8 is nested in slc-36.2,T27A1.5
T27A1.9 is nested in slc-36.2,T27A1.5
F45E10.2 is nested in F33A8.6
K02F6.10 is nested in K02F6.7
21ur-14976,Y46G5A.44 is nested in Y46G5A.29
F49C5.t4 is nested in F49C5.14
F49C5.14 is nested in F49C5.4
Y38F1A.11 is nested in Y38F1A.1
K01A2.14 is nested in K01A2.12
K01A2.13 is nested in cbn-1,K01A2.11
F40H3.13 is nested in F40H3.3
F40H3.10 is nested in F40H3.3
F40H3.16 is nested in F40H3.1
F40H3.14 is nested in F40H3.1
E01F3.3 is nested in pde-3,E01F3.1
C18D1.21 is nested in die-1,C18D1.1
C18D1.20 is nested in die-1,C18D1.1
F31E8.10 is nested in F31E8.1
F31E8.11 is nested in F31E8.6
F31E8.16 is nested in F31E8.1
F31E8.15 is nested in F31E8.1
F55C12.10 is nested in rfip-1,F55C12.1
B0454.25 is nested in B0454.26
B0454.22 is nested in B0454.26
B0454.20 is nested in B0454.26
B0454.19 is nested in B0454.26
B0454.24 is nested in B0454.5
B0454.21 is nested in B0454.5
F19H8.t1 is nested in mltn-9,F19H8.4
B0334.19 is nested in B0334.3
ddl-1,F59E12.10 is nested in sam-4,F59E12.11
R134.4 is nested in gcy-2,R134.2
DH11.7 is nested in DH11.5
ZK1067.10 is nested in ZK1067.4
clec-138,F35D11.9 is nested in pqn-35,F35D11.2
clec-136,F35D11.7 is nested in pqn-35,F35D11.2
B0286.9 is nested in try-9,B0286.6
B0286.8 is nested in try-9,B0286.6
F43C11.15 is nested in F43C11.9
F37B12.10 is nested in F37B12.1
F37B12.9 is nested in F37B12.1
F37B12.5 is nested in F37B12.1
F54H5.11 is nested in klf-3,F54H5.4
K03H9.13 is nested in K03H9.15
21ur-14685,VF13D12L.4 is nested in xpf-1,C47D12.8
inos-1,VF13D12L.1 is nested in xpf-1,C47D12.8
F41G3.18 is nested in agr-1,F41G3.12
F41G3.22 is nested in agr-1,F41G3.12
nlp-50,F41G3.1 is nested in agr-1,F41G3.12
ZK970.7 is nested in gcy-5,ZK970.6
C18H9.9 is nested in C18H9.3
mir-5595,F26H11.7 is nested in nurf-1,F26H11.2
C50E10.12 is nested in sre-50,C50E10.11
mth-2,F31D5.4 is nested in cpna-1,F31D5.3
T09A5.18 is nested in linc-110,T09A5.22
T09A5.16 is nested in linc-110,T09A5.22
T09A5.21 is nested in linc-110,T09A5.22
21ur-14806,T24B8.8 is nested in T24B8.3
F49C5.3 is nested in F49C5.4
C27D6.3 is nested in C27D6.1
F37H8.10 is nested in F37H8.9
F37H8.9 is nested in srap-1,T06D8.1
F39E9.23 is nested in sri-63,F39E9.3
C41C4.20 is nested in ulp-4,C41C4.6
C41C4.19 is nested in ulp-4,C41C4.6
F33G12.8 is nested in F33G12.6
tars-1,C47D12.6 is nested in kel-1,C47D12.7
Y53F4B.26 is nested in Y53F4B.25
Y53F4B.55 is nested in Y53F4B.25
Y53F4B.61 is nested in Y53F4B.20
Y53F4B.60 is nested in Y53F4B.20
C09D8.9 is nested in ptp-3,C09D8.1
C09D8.8 is nested in ptp-3,C09D8.1
K07C10.7 is nested in ptr-13,K07C10.1
C09D8.3 is nested in ptp-3,C09D8.1
C09D8.5 is nested in ptp-3,C09D8.1
C09D8.4 is nested in ptp-3,C09D8.1
C18A3.18 is nested in C18A3.16
C18A3.13 is nested in rab-3,C18A3.6
F18A1.9 is nested in lir-1,F18A1.3
F18A1.10 is nested in lir-1,F18A1.3
F18A1.11 is nested in lir-1,F18A1.3
21ur-13196,W07A12.9 is nested in W07A12.4
mir-39,Y62F5A.6 is nested in Y62F5A.9
C09D8.2 is nested in ptp-3,C09D8.1
C01B9.5 is nested in C01B9.4
C01B9.1 is nested in C01B9.4
C18D1.12 is nested in die-1,C18D1.1
C09D8.7 is nested in ptp-3,C09D8.1
C18D1.19 is nested in die-1,C18D1.1
K08A2.11 is nested in nhr-88,K08A2.5
K08A2.12 is nested in nhr-88,K08A2.5
K08A2.16 is nested in nhr-88,K08A2.5
K08A2.15 is nested in nhr-88,K08A2.5
B0454.18 is nested in B0454.6
B0454.13 is nested in sri-28,B0454.3
B0454.15 is nested in sri-28,B0454.3
F49C5.15 is nested in F49C5.4
D2013.13 is nested in D2013.6
D2013.11 is nested in cam-1,C01G6.8
K10B2.t1 is nested in C32D5.12
Y39G8C.9 is nested in xrn-1,Y39G8C.1
Y39G8C.7 is nested in xrn-1,Y39G8C.1
Y39G8C.6 is nested in xrn-1,Y39G8C.1
Y39G8C.8 is nested in xrn-1,Y39G8C.1
Y39G8C.11 is nested in xrn-1,Y39G8C.1
Y39G8C.10 is nested in xrn-1,Y39G8C.1
Y39G8C.13 is nested in xrn-1,Y39G8C.1
Y39G8C.12 is nested in xrn-1,Y39G8C.1
nfyc-1,F23F1.1 is nested in rpt-4,F23F1.8
C34F11.18 is nested in crh-2,C27D6.4
C18A3.10 is nested in C18A3.9
Y57A10A.26 is nested in Y57A10A.10
Y57A10A.40 is nested in Y57A10A.10
W09G10.7 is nested in ncs-6,W09G10.3
Y57A10B.8 is nested in marc-5,Y57A10B.1
Y57A10B.t1 is nested in Y57A10B.8
K07E8.14 is nested in frpr-14,K07E8.5
K07E8.13 is nested in frpr-14,K07E8.5
T19D12.5 is nested in T19D12.4
T07H3.9 is nested in bath-33,C08E3.3
T19D12.11 is nested in T19D12.4
T19D12.12 is nested in T19D12.4
T19D12.14 is nested in T19D12.6
T19D12.13 is nested in T19D12.6
C13B4.6 is nested in mir-234,C13B4.3
T07D3.11 is nested in alg-2,T07D3.7
T07D3.10 is nested in alg-2,T07D3.7
T07D3.12 is nested in alg-2,T07D3.7
VT21B10L.1 is nested in B0457.2
mir-37,Y62F5A.4 is nested in Y62F5A.9
T22C8.9 is nested in cutl-12,T22C8.7
F56D1.17 is nested in clr-1,F56D1.4
EEED8.19 is nested in EEED8.15
anr-52,ZK970.12 is nested in nep-26,ZK970.1
C52A11.5 is nested in mpz-1,C52A11.4
mir-267,Y38E10A.27 is nested in nhr-234,Y38E10A.18
21ur-14812,C29F5.9 is nested in C29F5.8
R166.9 is nested in mab-10,R166.1
C01B9.7 is nested in C01B9.4
C01B9.3 is nested in C01B9.4
K10G6.10 is nested in sea-2,K10G6.3
K10G6.11 is nested in sea-2,K10G6.3
T07D3.5 is nested in T07D3.4
F54A3.10 is nested in cbs-2,F54A3.4
F54D12.21 is nested in rog-1,F54D12.6
ZK970.t1 is nested in clpp-1,ZK970.2
ZK970.t4 is nested in clpp-1,ZK970.2
ZK970.11 is nested in clpp-1,ZK970.2
mdt-22,ZK970.3 is nested in clpp-1,ZK970.2
Y17G7B.24 is nested in glb-29,Y17G7B.6
T28D9.16 is nested in del-10,T28D9.7
mir-273,E01F3.2 is nested in pde-3,E01F3.1
K06A1.7 is nested in dgk-5,K06A1.6
anr-2,Y57A10A.43 is nested in Y57A10A.13
T01B7.13 is nested in cyn-11,T01B7.4
F08G2.11 is nested in F08G2.8
M176.14 is nested in chch-3,M176.3
C09D8.15 is nested in ptp-3,C09D8.1
B0491.9 is nested in tag-180,T24F1.6
C09D8.12 is nested in ptp-3,C09D8.1
col-80,C09G5.5 is nested in dph-2,C09G5.2
F02E11.8 is nested in wht-4,F02E11.1
mir-1830,B0286.7 is nested in pacs-1,B0286.3
Y38E10A.t3 is nested in rgs-4,Y38E10A.21
ZK930.7 is nested in vps-15,ZK930.1
Y51B9A.t1 is nested in Y51B9A.5
Y51H7C.19 is nested in Y51H7C.10
mth-1,F31D5.5 is nested in cpna-1,F31D5.3
Y51H7C.39 is nested in Y51H7C.10
Y51H7C.37 is nested in Y51H7C.10
Y51H7C.26 is nested in Y51H7C.10
Y51H7C.21 is nested in Y51H7C.10
Y51H7C.22 is nested in Y51H7C.10
Y51H7C.25 is nested in Y51H7C.10
Y51H7C.28 is nested in Y51H7C.10
Y51H7C.29 is nested in Y51H7C.10
Y51H7C.40 is nested in Y51H7C.10
